(epoch#1) auroc: 0.7316551879479362, lr: 0.0010000000474974513
(epoch#2) auroc: 0.7720830330212787, lr: 0.0010000000474974513
(epoch#3) auroc: 0.7863711619919158, lr: 0.0010000000474974513
(epoch#4) auroc: 0.789011942956382, lr: 0.0010000000474974513
(epoch#5) auroc: 0.799013543355432, lr: 0.0010000000474974513
(epoch#6) auroc: 0.8059786914259474, lr: 0.0010000000474974513
(epoch#8) auroc: 0.8125858681483065, lr: 0.0010000000474974513
(epoch#9) auroc: 0.812940643341798, lr: 0.0010000000474974513
(epoch#11) auroc: 0.8180845503377893, lr: 0.00010000000474974513
(epoch#12) auroc: 0.8250027254057526, lr: 0.00010000000474974513
